,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_H,Type_L,Type_M,label
23,-0.6839883,-1.5881007,0.47190017,-1.200946,-1.930526,False,False,True,no_failure
24,-1.6037407,-1.2600931,0.04854565,-0.49122846,-2.0346298,True,False,False,no_failure
25,1.101394,0.13394505,0.008664431,-0.67372733,-1.0679528,False,True,False,no_failure
26,-0.79220027,-1.178085,-0.38094443,0.17793362,-2.1387334,False,True,False,no_failure
27,-0.79220027,0.13394505,-0.00053892826,-0.065398,0.40437073,False,True,False,no_failure
28,-1.6578467,-1.5061175,-0.5680794,0.8065407,-0.4582026,False,False,True,no_failure
29,-1.3873333,-0.112054326,-0.24902962,-0.28845203,0.6125781,False,False,True,no_failure
30,0.12755208,0.4619776,0.063884586,-0.315489,-0.91923314,False,True,False,no_failure
31,-0.84630626,0.13394505,-0.19687726,-0.12623103,-0.38384283,False,True,False,no_failure
32,-0.6839883,-1.178085,-0.018945647,-0.27493355,0.7761696,False,True,False,no_failure
33,1.8047224,2.020032,0.020935575,-0.27493355,0.22590728,False,False,True,no_failure
34,1.7506329,2.4300475,-0.0741658,0.09682325,-1.4248796,False,True,False,no_failure
35,-0.6839883,-1.3421012,-0.47297803,0.25228512,-1.0382088,False,True,False,no_failure
36,-1.5496347,-1.5061175,-0.3686733,-0.112712555,-1.4992393,True,False,False,no_failure
37,-1.7119527,-1.752117,-0.22448733,0.20497057,-1.2315443,False,True,False,no_failure
38,1.209606,1.5280082,1.3002025,-1.6605726,-1.0828247,False,False,True,no_failure
39,0.18164156,1.5280082,-0.23675847,0.49561676,0.10693166,False,False,True,no_failure
40,0.12755208,0.5439607,0.13137588,-0.82243013,-0.5920502,False,True,False,no_failure
41,1.3178015,1.8560157,1.235779,-1.4915923,1.4900234,False,True,False,no_failure
42,0.8849865,0.87199324,-0.0036067145,-0.45067328,0.16641948,False,True,False,no_failure
43,0.7226685,0.95397633,0.09456245,-0.68724585,-1.2315443,False,True,False,no_failure
44,-0.034765907,1.0359845,0.43508673,-1.1265948,-0.22025134,False,True,False,no_failure
45,-1.2791213,-1.178085,0.1467148,-0.8832629,-1.9900138,False,True,False,no_failure
46,0.019340087,1.1179926,0.40134108,-0.6128943,-1.1720564,False,True,False,no_failure
47,0.8308805,0.5439607,1.910692,-1.9377005,1.2372001,False,True,False,no_failure
48,-1.5496347,-1.5061175,0.22954504,-0.78863406,-1.5289832,False,True,False,no_failure
49,2.0211463,2.7580552,0.3277142,-0.93057746,-0.7853856,True,False,False,no_failure
50,0.39806554,0.87199324,0.3522565,-1.106317,0.9992489,False,True,False,no_failure
51,-0.1970674,-0.93208563,-0.6325029,0.82681835,-0.44333065,False,True,False,no_failure
52,-0.6298988,0.21595317,0.62835723,-1.2955751,0.3448829,False,True,False,no_failure
53,-1.7119527,-1.4241093,-0.4607069,0.3063588,-1.0828247,False,False,True,no_failure
54,0.23574756,0.707977,2.1929283,-2.0390885,0.18129143,False,True,False,no_failure
55,-1.3332273,-1.2600931,-0.44230017,0.657838,1.0438647,False,False,True,no_failure
56,-0.90041226,-1.0140938,-0.4330968,0.0495087,0.89514524,False,True,False,no_failure
57,-1.6037407,-1.0140938,-0.28584304,-0.0856756,-0.1310196,False,True,False,no_failure
58,0.23574756,0.4619776,-0.12631817,-0.1803047,0.8505294,False,True,False,no_failure
59,0.019340087,1.5280082,-0.20608062,-0.05863889,0.10693166,False,True,False,no_failure
60,0.50626105,0.37996945,-0.120182596,-0.56558,-0.9935929,False,True,False,no_failure
61,0.019340087,-0.19406246,0.7970855,-1.3158528,-0.63666606,False,False,True,no_failure
62,-0.95450175,-0.44006184,-0.19994505,0.05626781,0.27052316,False,False,True,no_failure
63,0.45215502,0.707977,-0.07723358,-0.34928507,0.06231579,False,False,True,no_failure
64,-0.7380943,-0.112054326,-0.2735719,0.23876664,0.9100172,True,False,False,no_failure
65,-0.30527937,0.2979613,0.1712571,-0.4439139,0.5828342,False,False,True,no_failure
66,-0.0888719,-0.44006184,-0.16006382,-0.0856756,0.52334636,False,True,False,no_failure
67,-0.84630626,-1.5881007,2.6500285,-2.0931623,-1.8561662,False,True,False,no_failure
68,-0.6839883,-1.4241093,-0.32265648,-0.16678622,-1.3505198,False,False,True,no_failure
69,0.07344608,-0.2760706,0.5148492,-1.1739092,-0.1310196,False,True,False,no_failure
70,0.39806554,1.2000008,-0.18153833,0.46858007,0.95463306,False,True,False,OSF
71,-1.1709257,-1.5061175,0.23568061,-0.91705894,-1.1125686,False,True,False,no_failure
72,0.56036705,0.37996945,-0.4269612,0.3198773,0.92488915,False,True,False,no_failure
73,-0.46758085,-0.93208563,0.66210294,-1.3428895,0.032571882,False,False,True,no_failure
74,-1.1709257,-0.6040781,0.1467148,-0.68724585,-0.056659844,False,True,False,no_failure
75,0.50626105,0.707977,-0.15392825,-0.36280355,-0.8597454,False,True,False,no_failure
76,0.7226685,0.7899851,-0.07723358,-0.6128943,0.79104155,False,True,False,no_failure
77,-0.7380943,-0.0300462,-0.2797075,-0.20734142,-0.71102583,True,False,False,no_failure
78,2.0211463,2.676047,0.65903515,-1.1536316,0.7166818,False,True,False,no_failure
79,1.0472881,0.6259688,-0.5251304,0.008953255,0.06231579,False,True,False,HDF
80,1.1555,0.21595317,0.3952055,-1.072521,-1.2166723,True,False,False,no_failure
81,-1.3873333,-1.9161333,0.054681227,-0.5047469,-0.30948305,False,True,False,no_failure
82,1.4260135,0.95397633,1.0026273,-1.4375185,1.0141208,False,False,True,no_failure
83,-0.90041226,-0.112054326,-0.10484367,-0.5047469,-1.320776,False,False,True,no_failure
84,0.07344608,0.37996945,-0.22141954,-0.0856756,-1.320776,True,False,False,no_failure
85,-0.95450175,-0.0300462,-0.46684244,0.73218924,-1.0679528,False,False,True,no_failure
86,0.50626105,0.37996945,1.8922852,-1.890386,-0.66640997,False,True,False,no_failure
87,0.019340087,-0.44006184,-0.39935115,0.16441539,0.7464257,False,True,False,no_failure
88,0.9390925,1.2820089,0.40747663,-0.9846512,-2.1089895,False,False,True,no_failure
89,0.56036705,0.7899851,1.6407268,-1.9714966,-0.57717824,False,True,False,no_failure
90,-1.3873333,-0.93208563,-0.4330968,0.090063885,-1.7223186,False,True,False,no_failure
91,1.2636955,0.6259688,-0.6386385,0.4212655,-1.5438552,False,True,False,HDF
92,0.019340087,-0.44006184,-0.47297803,0.28608122,1.1182245,False,True,False,no_failure
93,0.7767745,0.6259688,-0.62329954,0.40098792,-1.5438552,False,False,True,no_failure
94,1.5883149,1.2820089,0.5209847,-0.7480786,0.6720659,False,False,True,no_failure
95,0.56036705,0.37996945,0.014800003,-0.27493355,0.89514524,False,True,False,no_failure
96,1.6965269,1.8560157,-0.049623508,0.23876664,-0.5176904,False,False,True,no_failure
97,1.209606,0.4619776,1.4014394,-1.7552017,-1.8264223,False,True,False,no_failure
98,-0.25117338,-0.52207,1.1007963,-1.5929805,-0.963849,False,False,True,no_failure
99,-1.8201482,-1.8341252,1.4106429,-1.7349241,0.22590728,False,False,True,no_failure
100,0.45215502,0.21595317,-0.040420152,-0.46419176,0.7464257,False,True,False,no_failure
101,-0.0888719,1.1179926,0.0608168,-0.3019705,0.10693166,False,False,True,no_failure
102,-1.9283602,-2.1621327,0.109901376,-0.9981696,-0.41358674,False,False,True,no_failure
103,-0.84630626,-0.0300462,1.8063872,-1.890386,-1.2315443,False,True,False,no_failure
104,0.12755208,-0.6040781,0.21113832,-0.7413195,-1.3653917,False,False,True,no_failure
105,-1.6578467,-1.4241093,-0.39321557,0.25228512,0.4489866,False,True,False,no_failure
106,1.9129344,2.3480394,-0.43923238,0.67811555,-1.2315443,False,False,True,no_failure
107,0.23574756,0.13394505,-0.31958872,0.33339578,0.12180361,False,False,True,no_failure
108,0.7767745,0.21595317,-0.0066745006,-0.8021525,0.16641948,False,True,False,no_failure
109,-1.2791213,-1.3421012,-0.4545713,0.346914,-0.41358674,False,False,True,no_failure
110,1.5883149,1.363992,-0.3656055,0.47533917,0.95463306,False,True,False,OSF
111,-1.0086077,-0.6040781,-0.24596183,0.1508969,-0.11614765,False,True,False,no_failure
112,-1.0086077,-0.44006184,0.3522565,-1.0995578,-2.004886,False,False,True,no_failure
113,1.209606,1.6920245,0.19886717,-0.7075234,0.3448829,False,False,True,no_failure
114,-0.35938537,-0.85007745,0.17739268,-0.26141533,0.7018098,False,True,False,no_failure
115,-1.6037407,-1.2600931,-0.14779267,-0.072157115,0.8059135,False,False,True,no_failure
116,-0.35938537,-0.52207,-0.07723358,-0.4303957,-1.9900138,False,True,False,no_failure
117,0.39806554,-0.0300462,-0.12631817,-0.031601932,-1.4843674,False,False,True,no_failure
118,0.07344608,0.4619776,-0.37787664,0.5226537,-0.94897705,False,True,False,no_failure
119,-0.034765907,1.2000008,-0.009742287,-0.47095087,-1.4694954,False,True,False,no_failure
120,-1.5496347,-0.44006184,0.22034168,-0.68724585,-1.2910321,False,False,True,no_failure
121,1.101394,1.5280082,-0.42082566,0.36043248,0.68693787,False,True,False,no_failure
122,0.07344608,-0.112054326,-0.2520974,0.52941287,-0.60692215,False,True,False,no_failure
123,-1.1168197,-0.3580537,0.18659604,-0.76835644,0.0920597,False,True,False,no_failure
124,-0.1429614,0.37996945,-0.2735719,-0.24789685,-0.4582026,False,True,False,no_failure
125,-0.52168685,0.5439607,-0.5036559,0.6037643,-1.0679528,False,True,False,no_failure
126,0.7226685,0.37996945,-0.69079083,1.1039461,-0.7853856,False,True,False,no_failure
127,0.66857904,0.4619776,-0.62023175,0.6105234,0.7464257,False,True,False,no_failure
128,0.8849865,0.707977,0.67437404,-1.0252066,0.5679622,False,True,False,no_failure
129,-0.57579285,0.4619776,-0.08643694,-0.01808345,1.1182245,False,False,True,no_failure
130,-1.6037407,-1.3421012,-0.17847054,0.42802462,0.06231579,False,True,False,no_failure
131,-1.3873333,-1.2600931,2.2757585,-2.045848,-0.27973914,False,True,False,no_failure
132,-0.41347486,-0.52207,-0.515927,0.25228512,0.59770614,False,True,False,no_failure
133,-1.7119527,-1.5881007,0.99955946,-1.451037,-1.5289832,False,False,True,no_failure
134,0.019340087,0.7899851,-0.68772304,1.036354,0.8654013,False,False,True,OSF
135,0.12755208,0.4619776,-0.2735719,-0.45067328,-1.8115504,False,True,False,no_failure
136,-1.6037407,-1.5881007,0.31851083,-1.0184473,0.62745005,False,False,True,no_failure
137,0.66857904,0.707977,0.051613443,-0.8427077,0.032571882,False,False,True,no_failure
138,0.993182,-0.0300462,-0.10177588,0.0021941431,0.59770614,False,True,False,no_failure
139,-1.1709257,-1.6701089,0.33691755,-0.8967814,-0.9043612,False,False,True,no_failure
140,0.66857904,0.707977,-0.24289405,-0.112712555,0.95463306,False,True,False,TWF
141,-0.7380943,-1.5061175,0.119104736,-0.82918924,-1.6925747,False,True,False,no_failure
142,1.7506329,2.2660313,-0.1846061,0.25904423,-2.1089895,True,False,False,no_failure
143,-1.1168197,-1.178085,-0.4116223,-0.072157115,-0.1310196,False,True,False,no_failure
144,0.019340087,-0.6040781,-0.49138474,0.015712624,-0.7556417,True,False,False,no_failure
145,-0.84630626,-1.178085,-0.3625377,0.25904423,0.3448829,False,False,True,no_failure
146,0.34395954,0.37996945,-0.40548673,0.84709597,-1.1274406,True,False,False,no_failure
147,-0.30527937,-0.52207,-0.21221618,-0.4439139,-1.8710382,False,True,False,no_failure
148,1.1555,1.2820089,-0.2766397,0.38746944,-1.6628308,False,False,True,no_failure
149,0.61447304,0.87199324,-0.344131,-0.20734142,-0.8151295,False,True,False,no_failure
150,-1.2250153,-1.178085,-0.28277528,0.6037643,-1.4694954,False,True,False,no_failure
151,0.12755208,1.2000008,-0.5281982,1.1174645,-1.603343,False,False,True,no_failure
152,-0.1970674,-0.68608624,0.58847606,-1.1806685,-0.04178789,False,True,False,no_failure
153,1.8047224,2.1840231,-0.052691292,-0.40335873,0.15154752,False,True,False,no_failure
154,-0.1429614,0.051961936,0.24488397,-0.977892,-1.7966784,False,True,False,no_failure
155,-2.0365558,-2.0801246,-0.1416571,-0.28845203,0.06231579,False,True,False,no_failure
156,-1.1709257,-1.3421012,-0.20608062,-0.20734142,-0.8151295,False,True,False,no_failure
157,-1.3873333,-1.4241093,0.38600215,-0.36280355,0.46385854,False,True,False,no_failure
158,0.50626105,0.5439607,-0.7214687,1.1242236,0.5828342,False,True,False,OSF
159,-1.0086077,-0.6040781,0.014800003,-0.5520615,-1.335648,False,True,False,no_failure
160,0.39806554,0.5439607,0.5854083,-1.1536316,-1.5735991,False,True,False,no_failure
161,1.8047224,2.4300475,-0.38708,-0.03836104,-1.603343,False,True,False,no_failure
162,-1.6037407,-1.0961019,-0.19994505,0.008953255,0.047443837,False,False,True,no_failure
163,-0.1429614,1.2000008,-0.4545713,0.21848905,0.76129764,False,True,False,no_failure
164,-1.8201482,-1.6701089,-0.043487936,-0.55882066,0.98437697,False,False,True,no_failure
165,0.8849865,0.95397633,-0.028149005,-0.065398,0.89514524,False,False,True,no_failure
166,-1.0086077,-0.52207,-0.30731755,0.2995997,-0.91923314,True,False,False,no_failure
167,-0.7380943,0.5439607,-0.009742287,-0.5115061,0.6125781,False,False,True,no_failure
168,1.101394,1.1179926,0.41361222,-0.92381835,-0.026915932,True,False,False,no_failure
169,-0.90041226,-0.0300462,0.19886717,-0.9914105,0.047443837,False,False,True,no_failure
170,-0.57579285,-0.85007745,0.459629,-0.68048644,-1.1274406,False,True,False,no_failure
171,0.34395954,0.2979613,0.027071148,-0.49122846,-0.7853856,False,True,False,no_failure
172,-0.6839883,-1.4241093,-0.5220626,0.36043248,-0.71102583,False,True,False,no_failure
173,0.8849865,1.1179926,1.4321173,-1.7484424,-1.8264223,False,True,False,no_failure
174,-1.2250153,-0.93208563,-0.49138474,0.73218924,-0.54743433,True,False,False,no_failure
175,1.7506329,2.10204,-0.49445254,0.73218924,0.7464257,False,True,False,OSF
176,0.56036705,0.6259688,3.8035161,-2.5663073,-1.9156541,False,True,False,PWF
177,-0.79220027,0.21595317,-0.47604582,0.21172969,1.2223282,False,True,False,OSF
178,0.45215502,0.13394505,-0.3686733,-0.112712555,-1.4397515,False,True,False,no_failure
179,1.1555,0.5439607,-0.10484367,-0.64669037,0.24077924,False,True,False,no_failure
180,-0.034765907,-0.52207,-0.22448733,-0.45067328,-0.50281847,False,True,False,no_failure
181,-0.6839883,-1.0961019,0.06695237,-0.4574324,0.52334636,False,True,False,no_failure
182,-1.6037407,-0.7680693,0.5976794,-1.2144645,-1.6925747,False,True,False,no_failure
183,0.8308805,-0.2760706,0.036274508,-0.4439139,-2.1089895,False,True,False,no_failure
184,0.7767745,0.21595317,1.1161354,-1.5253884,0.28539512,False,True,False,no_failure
185,-1.2250153,-1.0961019,0.38293436,-1.200946,-1.2761601,False,False,True,no_failure
186,-2.1988738,-2.2441409,-0.35946992,0.16441539,-1.0976967,False,True,False,no_failure
187,0.56036705,0.37996945,-0.29504642,0.06978629,-1.7520626,False,False,True,no_failure
188,1.6965269,1.9380238,-0.2735719,0.20497057,0.27052316,False,True,False,no_failure
189,1.0472881,-0.0300462,-0.2797075,-0.15326774,-0.5920502,False,True,False,no_failure
190,0.993182,0.95397633,0.32157862,-0.86974466,-0.1012757,False,False,True,no_failure
191,-0.6298988,-0.85007745,0.09456245,-0.46419176,0.047443837,False,True,False,no_failure
192,0.993182,0.5439607,0.27862963,-0.9576144,0.37462682,False,False,True,no_failure
193,0.019340087,1.1179926,-0.62636733,0.25228512,-1.320776,False,True,False,no_failure
194,-0.79220027,-1.2600931,0.43201894,-0.93057746,-0.5623063,False,True,False,no_failure
195,0.12755208,1.7740076,0.5976794,-1.2955751,0.032571882,False,True,False,no_failure
196,-1.1168197,-1.5881007,1.0118306,-1.2820567,0.7464257,False,True,False,no_failure
197,-0.0888719,-0.19406246,0.0608168,-0.41011783,0.8802733,False,True,False,no_failure
198,-0.79220027,0.2979613,-0.5650116,0.73218924,-0.11614765,True,False,False,no_failure
199,1.5342089,1.1179926,-0.41775787,0.59700495,-1.4248796,False,False,True,no_failure
200,0.56036705,0.37996945,0.13751145,-0.13974927,-0.026915932,False,True,False,no_failure
201,0.23574756,0.707977,-0.27050412,0.14413753,-1.2612882,False,True,False,no_failure
202,1.6965269,1.7740076,0.33691755,-0.91705894,1.1777123,False,False,True,no_failure
203,0.23574756,1.6100163,0.29703635,-1.0116881,0.06231579,False,False,True,no_failure
204,-1.4955287,-0.7680693,0.5516626,-1.2550198,0.4787305,False,False,True,no_failure
205,1.2636955,1.7740076,-0.08030137,-0.5723391,0.8059135,False,True,False,no_failure
206,-1.6578467,-1.4241093,-0.5435371,-0.40335873,-1.2315443,False,True,False,no_failure
207,1.5342089,1.0359845,-0.38401222,0.88765115,-2.0792456,False,False,True,no_failure
208,-1.6037407,-0.6040781,-0.26743633,0.15765601,-0.071531795,False,False,True,no_failure
209,0.23574756,0.5439607,0.15591817,-0.41011783,-1.3802637,False,True,False,no_failure
210,-2.361175,-2.4901402,1.1590843,-1.5727028,-1.8412943,False,True,False,no_failure
211,-0.7380943,0.13394505,-0.33492765,-0.26141533,-1.0382088,False,True,False,no_failure
212,1.5883149,1.6920245,0.41668,-0.8967814,0.76129764,False,True,False,no_failure
213,-0.35938537,-0.52207,0.06695237,-0.38308114,-0.04178789,False,True,False,no_failure
214,0.34395954,0.051961936,1.0118306,-1.234742,-1.4843674,False,False,True,no_failure
215,0.18164156,0.5439607,-0.10484367,-0.01808345,0.032571882,False,True,False,no_failure
216,0.07344608,-0.44006184,1.1284065,-1.7214056,-0.16076352,True,False,False,no_failure
217,0.56036705,0.37996945,-0.38708,0.035990216,0.92488915,False,True,False,no_failure
218,-2.6857946,-3.2281632,-0.22141954,0.19821146,-1.1720564,False,True,False,no_failure
219,-0.1429614,1.1179926,0.082291305,-0.3425257,-1.1571845,False,False,True,no_failure
220,-0.0888719,-0.6040781,0.5670015,-1.1198355,0.68693787,False,True,False,no_failure
221,0.12755208,0.7899851,2.812621,-2.1742728,0.28539512,False,True,False,no_failure
222,-1.2791213,-1.752117,0.5087136,-1.1265948,-1.618215,False,False,True,no_failure
223,-1.7660422,-1.3421012,0.091494665,-0.3019705,-0.27973914,False,True,False,no_failure
224,1.0472881,1.2000008,0.31237528,-0.7413195,-1.1274406,False,True,False,no_failure
225,-1.9824662,-1.9161333,0.44122228,-0.8900223,-0.026915932,False,False,True,no_failure
226,-0.41347486,0.2979613,-0.09257252,-0.3222481,-0.2648672,False,False,True,no_failure
227,-0.1429614,1.2000008,-0.16926718,-0.30872962,-0.97872096,False,False,True,no_failure
228,-1.1709257,-1.9161333,1.1836267,-1.6132581,-0.5920502,False,True,False,no_failure
229,0.993182,0.7899851,-0.19994505,-0.38308114,0.017699929,True,False,False,no_failure
230,0.23574756,1.5280082,-0.08336916,-0.49122846,1.0884806,False,True,False,no_failure
231,-0.84630626,0.051961936,0.036274508,-0.55882066,0.33001095,True,False,False,no_failure
232,0.7226685,0.4619776,-0.2797075,0.13061932,-1.3505198,False,False,True,no_failure
233,0.34395954,-0.112054326,-0.022013433,-0.538543,-1.8859102,False,True,False,no_failure
234,-0.35938537,0.7899851,0.919797,-1.4240001,0.4489866,False,True,False,no_failure
235,1.7506329,2.2660313,-0.028149005,-0.33576658,-1.6479589,False,False,True,no_failure
236,1.101394,0.6259688,-0.5834183,0.7389486,-0.6961539,False,True,False,HDF
237,0.45215502,-0.112054326,-0.2520974,-0.3425257,-2.0346298,False,True,False,no_failure
238,0.993182,1.363992,-0.13858931,-0.21410078,-1.5735991,True,False,False,no_failure
239,1.2636955,1.8560157,-0.33492765,0.52941287,1.5197673,True,False,False,OSF
240,0.66857904,-0.0300462,3.60411,-2.2553835,-1.9900138,False,True,False,no_failure
241,-1.6037407,-1.6701089,-0.12325038,-0.24113749,-0.47307456,False,False,True,no_failure
242,0.019340087,-0.68608624,-0.13858931,0.05626781,-0.74076974,False,True,False,no_failure
243,-1.5496347,-0.52207,0.31544307,-0.86974466,1.1925843,True,False,False,no_failure
244,-0.034765907,1.0359845,1.2756602,-1.4915923,-0.19050743,False,True,False,no_failure
245,-1.2250153,-0.85007745,0.40134108,-1.1603909,0.62745005,False,False,True,no_failure
246,-1.1168197,-0.44006184,-0.13245374,-0.7007643,-0.63666606,False,True,False,no_failure
247,0.66857904,0.37996945,-0.66624856,0.92820656,-1.5141113,False,True,False,no_failure
248,-0.41347486,-0.85007745,0.1712571,-0.64669037,0.07718775,False,False,True,no_failure
249,0.019340087,-0.2760706,-0.4607069,0.67135644,-0.01204398,False,False,True,no_failure
250,-2.0365558,-2.0801246,-0.012810074,-0.5790982,0.032571882,False,True,False,no_failure
251,-1.6037407,-1.0961019,-0.13245374,-0.47095087,-0.24999525,False,True,False,no_failure
252,0.7767745,-0.44006184,0.09456245,-0.76835644,0.9992489,False,False,True,no_failure
253,-1.8201482,-1.4241093,0.07002016,-0.4303957,0.9100172,False,True,False,no_failure
254,-1.6037407,-0.6040781,-0.052691292,-0.36280355,0.0028279745,False,True,False,no_failure
255,1.7506329,2.020032,0.4626968,-1.0454842,0.28539512,False,False,True,no_failure
256,0.019340087,-0.19406246,-0.11404703,0.22524816,-0.2946111,False,False,True,no_failure
257,1.6424209,2.2660313,0.3001041,-1.0522434,-0.20537938,False,False,True,no_failure
258,1.3719075,0.707977,-0.49445254,-0.11947167,-0.4284587,False,True,False,HDF
259,-0.7380943,0.13394505,-0.21835175,-0.35604417,-1.5438552,False,True,False,no_failure
260,0.7226685,-0.112054326,-0.3901478,-0.072157115,0.95463306,False,True,False,no_failure
261,1.9670404,2.5120556,0.21420611,-0.17354535,-1.3653917,True,False,False,no_failure
262,-1.8201482,-1.6701089,-0.22755511,-0.63317215,1.2372001,False,True,False,no_failure
263,-0.7380943,-1.3421012,-0.19994505,-0.4168772,0.017699929,False,True,False,no_failure
264,0.9390925,1.0359845,-0.27050412,-0.04512041,-1.6479589,False,False,True,no_failure
265,0.7767745,0.37996945,-0.7981633,1.3472779,-1.7074467,False,False,True,no_failure
266,-1.8201482,-1.6701089,-0.515927,-0.10595319,-2.1387334,False,False,True,no_failure
267,-0.25117338,-0.85007745,-0.1416571,-0.05187952,0.12180361,False,False,True,no_failure
268,0.66857904,0.2979613,-0.50979143,0.27256274,0.37462682,False,True,False,no_failure
269,0.12755208,0.051961936,1.0946609,-1.4307594,-1.1869284,True,False,False,no_failure
270,-2.2529798,-2.326149,-0.06803022,-0.2952114,-1.9156541,False,False,True,no_failure
271,0.019340087,0.2979613,-0.2091484,-0.20734142,-1.7074467,False,True,False,no_failure
272,0.28985354,0.6259688,1.6161845,-1.8971452,0.5084744,False,False,True,no_failure
273,0.993182,-0.0300462,-0.5128592,0.33339578,-1.603343,False,True,False,HDF
274,-0.95450175,0.13394505,-0.07723358,-0.49122846,-0.8300015,False,False,True,no_failure
275,-0.1429614,-0.3580537,0.41668,-0.78863406,-0.35409892,False,True,False,no_failure
276,-1.6037407,-0.85007745,0.0608168,-0.5047469,0.4787305,False,False,True,no_failure
277,-0.25117338,-0.7680693,0.732662,-1.2212237,-2.0643737,False,True,False,no_failure
278,-1.7119527,-1.3421012,0.07615573,-0.78863406,-1.0382088,False,True,False,no_failure
279,0.7767745,0.6259688,0.23568061,-0.6128943,-1.3951356,False,True,False,no_failure
280,1.6965269,1.363992,0.42588335,-0.7615971,-0.74076974,False,False,True,no_failure
281,-1.4955287,-1.0961019,-0.40548673,-0.02484282,0.68693787,False,False,True,no_failure
282,-1.1168197,-0.7680693,-0.53740156,0.45506158,0.7761696,False,True,False,no_failure
283,0.34395954,0.5439607,0.83389896,-1.3631673,-0.33922696,True,False,False,no_failure
284,-0.84630626,-0.19406246,-0.009742287,-0.63317215,-0.39871478,False,True,False,no_failure
285,-2.2529798,-2.326149,-0.2336907,0.20497057,-1.945398,False,True,False,no_failure
286,1.7506329,2.4300475,0.6160861,-0.754838,-1.3951356,False,True,False,no_failure
287,0.12755208,0.4619776,-0.31958872,-0.37632176,1.0438647,False,True,False,no_failure
288,0.993182,1.2820089,0.3921377,-0.9373368,0.79104155,False,True,False,no_failure
289,0.50626105,0.4619776,-0.73680764,1.0160763,-0.5623063,False,True,False,no_failure
290,0.12755208,-0.52207,0.22034168,-1.1468724,-1.8859102,False,True,False,no_failure
291,0.9390925,1.1179926,-0.53433377,0.434784,0.19616337,False,True,False,no_failure
292,0.34395954,0.2979613,-0.60182506,0.434784,0.40437073,False,True,False,no_failure
293,-1.5496347,-1.2600931,-0.08643694,-0.7075234,-0.8300015,False,False,True,no_failure
294,0.34395954,1.8560157,-0.2766397,-0.54530215,-0.2946111,False,True,False,no_failure
295,-0.90041226,-1.0961019,0.10683359,-0.36280355,-1.2315443,False,True,False,no_failure
296,-0.7380943,0.37996945,0.25101954,-0.42363632,0.0028279745,False,True,False,no_failure
297,0.12755208,-0.52207,0.5271203,-1.0590026,-1.1869284,False,True,False,no_failure
298,-1.6037407,-0.93208563,-0.15392825,-0.16678622,0.7018098,False,True,False,no_failure
299,-0.46758085,0.6259688,-0.1416571,-0.42363632,-1.1869284,False,False,True,no_failure
300,-0.90041226,-0.2760706,0.13137588,-0.82918924,-0.01204398,False,True,False,no_failure
301,0.56036705,0.2979613,-0.12631817,-0.79539317,0.047443837,False,True,False,no_failure
302,-1.7119527,-1.8341252,-0.31652093,-0.28169292,0.62745005,False,True,False,no_failure
303,1.3719075,1.8560157,0.017867789,-0.6669682,-0.026915932,False,False,True,no_failure
